subject,sessionIndex,rep,Hold,Down-Down,Up-Down
Andy,6,10,0.115243196,0.118183613,0.002940416
Andy,7,1,0.130899429,0.167657614,0.036758184
Andy,7,2,0.134441137,0.141129017,0.00668788
Andy,7,3,0.118858814,0.250242233,0.131383419
Andy,7,4,0.12174201,0.13732028,0.01557827
Andy,7,5,0.136957884,0.153584242,0.016626358
Andy,7,6,0.12173605,0.148483753,0.026747704
Andy,7,7,0.111367226,0.610282183,0.498914957
Andy,7,8,0.129885674,0.179749727,0.049864054
Andy,7,9,0.118666649,0.149691582,0.031024933
Andy,7,10,0.122295618,0.160455942,0.038160324
Andy,8,1,0.128843307,0.138989925,0.010146618
Andy,8,2,0.12204361,0.156558037,0.034514427
Andy,8,3,0.13485384,0.163450718,0.028596878
Andy,8,4,0.107970476,0.15134573,0.043375254
Andy,8,5,0.131379128,0.139212132,0.007833004
Andy,8,6,0.111382008,0.143438339,0.032056332
Andy,8,7,0.11847496,0.146711349,0.028236389
Andy,8,8,0.104983807,0.138201714,0.033217907
Andy,8,9,0.114485979,0.134607077,0.020121098
Andy,8,10,0.151306868,0.138130903,-0.013175964
Andy,9,1,0.128031969,0.118099213,-0.009932756
Andy,9,2,0.129087925,0.153989553,0.024901628
Andy,9,3,0.148288965,0.101631641,-0.046657324
Andy,9,4,0.106881142,0.081982136,-0.024899006
Andy,9,5,0.121989012,0.105380535,-0.016608477
Andy,9,6,0.11259675,0.141988039,0.029391289
Andy,9,7,0.134272575,0.164452553,0.030179977
Andy,9,8,0.160869598,0.134268284,-0.026601315
Andy,9,9,0.142556429,0.164208889,0.02165246
Andy,9,10,0.137795687,0.149784803,0.011989117
Andy,10,1,0.118613005,0.133628368,0.015015364
Andy,10,2,0.1282444,0.131527662,0.003283262
Andy,10,3,0.130976915,0.151978254,0.021001339
Andy,10,4,0.135530472,0.135016918,-0.000513554
Andy,10,5,0.121927261,0.163677454,0.041750193
Andy,10,6,0.140666962,0.169271708,0.028604746
Andy,10,7,0.126097441,0.159527302,0.033429861
Andy,10,8,0.154107809,0.123613358,-0.030494452
Andy,10,9,0.119240761,0.149982929,0.030742168
Andy,10,10,0.138849497,0.145312309,0.006462812
Andy,1,1,0.155918598,0.116134405,-0.039784193
Andy,1,2,0.137038708,0.121543169,-0.015495539
Andy,1,3,0.124891758,0.101460934,-0.023430824
